 1 	   -536 	     0 	 65000
 1 	  -1536 	   527 	 64527
 1 	  -2536 	  1054 	 64054
 1 	  -3536 	  1581 	 63581
 1 	  -4536 	  2108 	 63108
 2 	   -536 	     0 	 65000
 2 	  -1536 	   527 	 64527
 2 	  -2536 	  1054 	 64054
 2 	  -3536 	  1581 	 63581
 2 	  -4536 	  2108 	 63108
 3 	   -536 	     0 	 65000
 3 	  -1536 	   527 	 64527
 3 	  -2536 	  1054 	 64054
 3 	  -3536 	  1581 	 63581
 3 	  -4536 	  2108 	 63108
 4 	   -536 	     0 	 65000
 4 	  -1536 	   527 	 64527
 4 	  -2536 	  1054 	 64054
 4 	  -3536 	  1581 	 63581
 4 	  -4536 	  2108 	 63108
 5 	   -536 	     0 	 65000
 5 	  -1536 	   527 	 63473
 5 	  -2536 	  1054 	 61946
 5 	  -3536 	  1581 	 60419
 5 	  -4536 	  2108 	 58892
 6 	   -536 	     0 	     0
 6 	  -1536 	   527 	     0
 6 	  -2536 	  1054 	     0
 6 	  -3536 	  1581 	     0
 6 	  -4536 	  2108 	     0
 7 	   -536 	     0 	     0
 7 	  -1536 	   527 	     0
 7 	  -2536 	  1054 	     0
 7 	  -3536 	  1581 	     0
 7 	  -4536 	  2108 	     0
 8 	   -536 	     0 	     0
 8 	  -1536 	   527 	   512
 8 	  -2536 	  1054 	  1048
 8 	  -3536 	  1581 	   544
 8 	  -4536 	  2108 	  2056
 9 	   -536 	     0 	 65000
 9 	  -1536 	   527 	 64015
 9 	  -2536 	  1054 	 63006
 9 	  -3536 	  1581 	 63037
 9 	  -4536 	  2108 	 61052
10 	   -536 	     0 	 65000
10 	  -1536 	   527 	 63503
10 	  -2536 	  1054 	 61958
10 	  -3536 	  1581 	 62493
10 	  -4536 	  2108 	 58996
11 	   -536 	     0 	   535
11 	  -1536 	   527 	  1535
11 	  -2536 	  1054 	  2535
11 	  -3536 	  1581 	  3535
11 	  -4536 	  2108 	  4535
12 	   -536 	     0 	 64464
12 	  -1536 	   527 	 62464
12 	  -2536 	  1054 	 60464
12 	  -3536 	  1581 	 58464
12 	  -4536 	  2108 	 56464
13 	   -536 	     0 	 32500
13 	  -1536 	   527 	 32000
13 	  -2536 	  1054 	 31500
13 	  -3536 	  1581 	 31000
13 	  -4536 	  2108 	 30500
14 	   -536 	     0 	 64464
14 	  -1536 	   527 	 62464
14 	  -2536 	  1054 	 60464
14 	  -3536 	  1581 	 58464
14 	  -4536 	  2108 	 56464
15 	   -536 	     0 	 32500
15 	  -1536 	   527 	 32000
15 	  -2536 	  1054 	 31500
15 	  -3536 	  1581 	 31000
15 	  -4536 	  2108 	 30500 
